Tanggal,ASII,UNVR
26/11/2023,5.65,3.54
19/11/2023,5.725,3.53
12/11/2023,5.7,3.47
5/11/2023,5.775,3.59
29/10/2023,5.9,3.55
22/10/2023,5.725,3.98
15/10/2023,5.7,3.86
8/10/2023,5.975,3.65
1/10/2023,6.075,3.8
24/09/2023,6.225,3.74
17/09/2023,6.2,3.85
10/09/2023,6.3,3.5
3/09/2023,6.4,3.61
27/08/2023,6.55,3.66
20/08/2023,6.45,3.76
13/08/2023,6.525,3.69
6/08/2023,6.75,3.7
30/07/2023,6.8,3.74
23/07/2023,6.625,3.87
16/07/2023,6.45,4.29
9/07/2023,6.75,4.25
2/07/2023,6.825,4.24
25/06/2023,6.775,4.26
18/06/2023,6.775,4.27
11/06/2023,6.85,4.39
4/06/2023,6.8,4.55
28/05/2023,6.45,4.53
21/05/2023,6.6,4.38
14/05/2023,6.475,4.43
7/05/2023,6.225,4.4
30/04/2023,6.15,4.49
23/04/2023,6.75,4.4
16/04/2023,6.425,4.09
9/04/2023,6.2,4.15
2/04/2023,5.925,4.25
26/03/2023,6,4.35
19/03/2023,5.95,4.27
12/03/2023,5.85,4.16
5/03/2023,5.975,4.11
26/02/2023,6.05,4.06
19/02/2023,5.75,4.35
12/02/2023,5.675,4.51
5/02/2023,5.7,4.58
29/01/2023,5.875,4.69
22/01/2023,5.875,4.75
15/01/2023,5.9,4.81
8/01/2023,5.45,4.79
1/01/2023,5.45,4.76
25/12/2022,5.7,4.7
18/12/2022,5.675,4.82
11/12/2022,5.775,4.87
4/12/2022,5.675,4.62
27/11/2022,6.125,4.71
