Provinsi,2015,2016,2017
ACEH,14.87,11.57,13.29
SUMATERA UTARA,10.13,10.47,8.9
SUMATERA BARAT,11.41,10.78,11.77
RIAU,9.8,12.38,10.37
JAMBI,10.06,9.03,8.67
SUMATERA SELATAN,10.44,9.66,8.73
BENGKULU,13.01,10.37,10.47
LAMPUNG,8.18,7.18,10.49
KEP. BANGKA BELITUNG,8.55,7.14,5.9
KEP. RIAU,3.52,2.85,4.22
DKI JAKARTA,2.45,2.33,2.55
JAWA BARAT,8.32,6.18,6.28
JAWA TENGAH,6.52,6.2,6.38
DI YOGYAKARTA,4.2,5.21,4.4
JAWA TIMUR,8.41,7.01,6.14
BANTEN,6.49,7.84,4.91
BALI,2.64,3.6,3.48
NUSA TENGGARA BARAT,18.32,13.87,17.27
NUSA TENGGARA TIMUR,12.85,11.11,12.9
KALIMANTAN BARAT,10.39,7.97,10.14
KALIMANTAN TENGAH,9.33,8.95,9.15
KALIMANTAN SELATAN,8.27,8.34,7.64
KALIMANTAN TIMUR,5.89,6.69,4.9
KALIMANTAN UTARA,5.44,4.32,7.24
SULAWESI UTARA,9.3,7.91,9.24
SULAWESI TENGAH,11.25,9.88,11.64
SULAWESI SELATAN,9.68,7.82,9.52
SULAWESI TENGGARA,10.43,9.19,10.76
GORONTALO,8.23,7.83,8.13
SULAWESI BARAT,12.81,9.27,11.71
MALUKU,11.03,10.94,12.33
MALUKU UTARA,15.34,7.23,9.9
PAPUA BARAT,11.96,11.46,12.27
PAPUA,11.68,13.07,11.25
INDONESIA,8.48,7.58,7.55
